the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.98987421380659 40.73540825804987, -73.98945472120609 40.73598724691183))",1,Manhattan,105,2,"74,75",28,12,UNION SQUARE EAST,164378,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,240.8579126
"MULTILINESTRING ((-73.98986198889538 40.735326099142014, -73.98987421380659 40.73540825804987))",1,Manhattan,105,2,"74,75","28,27",12,UNION SQUARE EAST,164377,1,32268,MN0602,MN,Global,"Midtown South-Flatiron-Union Square,Gramercy",X,AREA OF MINIMAL FLOOD HAZARD,,30.12419431
"MULTILINESTRING ((-74.00825772575094 40.739375929180824, -74.00967995872185 40.7393795438196))",1,Manhattan,102,3,66,27,10,GANSEVOORT STREET,236855,1,31108,MN0203,MN,Global,West Village,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",1,394.127205
"MULTILINESTRING ((-74.01282671107701 40.70240862624739, -74.01363820647819 40.702371128395654))",1,Manhattan,101,1,65,26,10,STATE STREET,257472,1,30058,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,225.4184147
"MULTILINESTRING ((-73.97685152366758 40.7517764937864, -73.97651587152038 40.751636471937))",1,Manhattan,105,4,73,27,12,EAST 42 STREET,297548,1,32851,MN0604,MN,Global,"Murray Hill-Kips Bay,East Midtown-Turtle Bay",X,AREA OF MINIMAL FLOOD HAZARD,,106.0709841
"MULTILINESTRING ((-74.00898755324133 40.70408482794107, -74.00878919259463 40.70421090227653))",1,Manhattan,101,1,65,26,10,WATER STREET,23145,1,29765,MN0101,MN,Global,Financial District-Battery Park City,AE,,1,71.65618458
"MULTILINESTRING ((-74.00630969543175 40.71416582693908, -74.00588849692078 40.714677285126655))",1,Manhattan,101,1,66,26,10,BROADWAY,23403,1,30113,MN0102,MN,Global,Tribeca-Civic Center,X,AREA OF MINIMAL FLOOD HAZARD,5,219.9012964
"MULTILINESTRING ((-73.98694873854542 40.75603590259463, -73.98645825475441 40.75671007129479))",1,Manhattan,105,3,75,27,"10,12",7 AVENUE,33949,1,32399,MN0502,MN,Global,Midtown-Times Square,X,AREA OF MINIMAL FLOOD HAZARD,,280.7047919
"MULTILINESTRING ((-73.98225790952995 40.76831122434096, -73.98224426727246 40.76832006248301, -73.98223032542299 40.76832862862509, -73.98221609701217 40.76833691556518, -73.98220158796371 40.768344917901004, -73.98218681130764 40.76835263113193, -73.9821717753368 40.76836004895573, -73.98215648952791 40.76836716687113, -73.98214096572686 40.76837397947692, -73.98212521459489 40.76838048227211, -73.98210924560838 40.76838667255654, -73.98209307061367 40.76839254312805, -73.98207670027114 40.76839809308756, -73.98206014524253 40.76840331613323, -73.98204341618842 40.76840821046557))",1,Manhattan,"104,107",3,"67,75",27,10,COLUMBUS CIRCLE,297895,1,32428,MN0502,MN,Global,Upper West Side-Lincoln Square,X,AREA OF MINIMAL FLOOD HAZARD,,69.50938858
"MULTILINESTRING ((-74.01318764333136 40.704042717065995, -74.01326979423426 40.70455349671312))",1,Manhattan,101,1,65,26,10,BROADWAY,23004,1,30000,MN0101,MN,Global,Financial District-Battery Park City,X,AREA OF MINIMAL FLOOD HAZARD,"1,3,4",187.4810954
